,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,ticker,lastDateFormatted,firstDateFormatted
5,2023-03-31,2023-05-09,0.18,0.09,0.09,100,post-market,ABNB,20230508T2359,20230428T0001
6,2022-12-31,2023-02-14,0.48,0.25,0.23,92,post-market,ABNB,20230213T2359,20230203T0001
7,2022-09-30,2022-11-01,1.79,1.47,0.32,21.7687,post-market,ABNB,20221031T2359,20221021T0001
8,2022-06-30,2022-08-02,0.56,0.43,0.13,30.2326,post-market,ABNB,20220801T2359,20220722T0001
9,2022-03-31,2022-05-03,-0.03,-0.29,0.26,89.6552,post-market,ABNB,20220502T2359,20220422T0001
0,2024-06-30,2024-07-23,1.33,1.06,0.27,25.4717,pre-market,SPOT,20240722T2359,20240712T0001
1,2024-03-31,2024-04-23,0.97,0.65,0.32,49.2308,pre-market,SPOT,20240422T2359,20240412T0001
2,2023-12-31,2024-02-06,0.37,-0.21,0.58,276.1905,pre-market,SPOT,20240205T2359,20240126T0001
3,2023-09-30,2023-10-24,0.33,-0.22,0.55,250,pre-market,SPOT,20231023T2359,20231013T0001
4,2023-06-30,2023-07-25,-1.55,-0.63,-0.92,-146.0317,pre-market,SPOT,20230724T2359,20230714T0001
5,2023-03-31,2023-04-25,-1.16,-0.85,-0.31,-36.4706,pre-market,SPOT,20230424T2359,20230414T0001
6,2022-12-31,2023-01-31,-1.4,-1.27,-0.13,-10.2362,pre-market,SPOT,20230130T2359,20230120T0001
7,2022-09-30,2022-10-25,-0.99,-0.84,-0.15,-17.8571,post-market,SPOT,20221024T2359,20221014T0001
8,2022-06-30,2022-07-27,-0.85,-0.63,-0.22,-34.9206,pre-market,SPOT,20220726T2359,20220716T0001
9,2022-03-31,2022-04-27,0.21,-0.24,0.45,187.5,pre-market,SPOT,20220426T2359,20220416T0001
0,2024-06-30,2024-07-30,1.19,0.99,0.2,20.202,pre-market,PYPL,20240729T2359,20240719T0001
1,2024-03-31,2024-04-30,1.4,1.22,0.18,14.7541,pre-market,PYPL,20240429T2359,20240419T0001
2,2023-12-31,2024-02-07,1.48,1.36,0.12,8.8235,pre-market,PYPL,20240206T2359,20240127T0001
3,2023-09-30,2023-11-01,1.3,1.23,0.07,5.6911,post-market,PYPL,20231031T2359,20231021T0001
4,2023-06-30,2023-08-02,1.16,1.16,0,0,post-market,PYPL,20230801T2359,20230722T0001
5,2023-03-31,2023-05-08,1.17,1.1,0.07,6.3636,post-market,PYPL,20230507T2359,20230427T0001
6,2022-12-31,2023-02-09,1.24,1.2,0.04,3.3333,post-market,PYPL,20230208T2359,20230129T0001
7,2022-09-30,2022-11-03,1.08,0.96,0.12,12.5,post-market,PYPL,20221102T2359,20221023T0001
8,2022-06-30,2022-08-02,0.93,0.86,0.07,8.1395,post-market,PYPL,20220801T2359,20220722T0001
9,2022-03-31,2022-04-27,0.88,0.88,0,0,post-market,PYPL,20220426T2359,20220416T0001
0,2024-07-31,2024-08-28,1.04,0.97,0.07,7.2165,post-market,CRWD,20240827T2359,20240817T0001
1,2024-04-30,2024-06-04,0.93,0.89,0.04,4.4944,post-market,CRWD,20240603T2359,20240524T0001
2,2024-01-31,2024-03-05,0.95,0.82,0.13,15.8537,post-market,CRWD,20240304T2359,20240223T0001
3,2023-10-31,2023-11-28,0.82,0.74,0.08,10.8108,post-market,CRWD,20231127T2359,20231117T0001
4,2023-07-31,2023-08-30,0.74,0.56,0.18,32.1429,post-market,CRWD,20230829T2359,20230819T0001
5,2023-04-30,2023-05-31,0.57,0.51,0.06,11.7647,post-market,CRWD,20230530T2359,20230520T0001
6,2023-01-31,2023-03-07,0.47,0.43,0.04,9.3023,post-market,CRWD,20230306T2359,20230224T0001
7,2022-10-31,2022-11-29,0.4,0.31,0.09,29.0323,post-market,CRWD,20221128T2359,20221118T0001
8,2022-07-31,2022-08-30,0.36,0.28,0.08,28.5714,post-market,CRWD,20220829T2359,20220819T0001
9,2022-04-30,2022-06-02,0.31,0.23,0.08,34.7826,post-market,CRWD,20220601T2359,20220522T0001
